motherID,bean1,sex,tr,mass1,Giftsize,giftpercent,timesurvived,status,progeny,progenyday
78x55x1,257.298,1,1,5.867,-0.323,,9,1,69,8
78x55x1,234.786,1,1,6.973,-0.193,,9,1,83,9
10x24x1,158.819,1,1,7.361,-0.37,,10,1,74,7
10x24x1,229.443,1,1,7.315,-0.126,,10,1,64,6
26x36x1,125.586,1,1,5.236,-0.355,,8,1,11,1
26x36x1,153.463,1,1,6.01000000000,-0.179,,9,1,54,6
26x36x1,224.028,1,1,6.127,-0.268,,8,1,69,9
26x36x1,134.262,1,1,6.858,-0.294,,9,1,83,9
23x47x1,204.591,1,1,6.154,-0.214,,5,1,86,17
72x59x1,159.543,1,1,7.15000,-0.026,,6,1,7,1
14x39x1,193.96,1,1,6.396,-0.326,,10,1,70,7
8x20x1,209.494,1,1,5.633,-0.079,,7,1,2,0
8x20x1,177.294,1,1,6.37000000,-0.171,,7,1,44,6
8x20x1,214.02,1,1,6.249,-0.195,,8,1,67,8
61x16x1,196.491,1,1,7.014,-0.256,,10,1,90,9
63x18x1,164.856,1,1,6.975,-0.271,,10,1,80,8
63x18x1,280.897,1,1,7.223,-0.135,,11,1,82,7
75x9x1,226.875,1,1,6.362,-0.245,,10,1,61,6
75x9x1,176.563,1,1,7.661,-0.427,,13,1,79,6
78x55x1,178.796,1,0,6.319,,,21,1,,
71x58x1,186.776,1,0,7.362,,,27,1,,
2x6x1,119.454,1,0,6.076,,,23,1,,
10x24x1,165.488,1,0,6.821,,,27,1,,
26x36x1,183.223,1,0,6.399,,,28,1,,
26x36x1,144.793,1,0,5.864,,,23,1,,
23x47x1,206.441,1,0,7.0200,,,22,1,,
14x39x1,157.374,1,0,5.896,,,18,1,,
8x20x1,164.473,1,0,5.721,,,22,1,,
8x20x1,226.316,1,0,6.812,,,15,1,,
8x20x1,172.226,1,0,6.384,,,29,1,,
11x37x1,210.776,1,0,5.704,,,18,1,,
63x18x1,173.95,1,0,5.922,,,21,1,,
